0,-0.26,-0.21
0.003,-0.26,-0.21
0.006,-0.26,-0.21
0.008,-0.26,-0.21
0.011,-0.26,-0.21
0.014,-0.26,-0.21
0.017,-0.26,-0.21
0.019,-0.26,-0.21
0.022,-0.26,-0.195
0.025,-0.25,-0.185
0.028,-0.24,-0.175
0.031,-0.225,-0.17
0.033,-0.21,-0.18
0.036,-0.2,-0.18
0.039,-0.2,-0.19
0.042,-0.2,-0.17
0.044,-0.18,-0.18
0.047,-0.17,-0.185
0.05,-0.155,-0.185
0.053,-0.165,-0.19
0.056,-0.17,-0.195
0.058,-0.175,-0.195
0.061,-0.17,-0.175
0.064,-0.165,-0.165
0.067,-0.16,-0.16
0.069,-0.17,-0.205
0.072,-0.175,-0.26
0.075,-0.185,-0.295
0.078,-0.175,-0.295
0.081,-0.17,-0.255
0.083,-0.165,-0.24
0.086,-0.175,-0.245
0.089,-0.2,-0.26
0.092,-0.205,-0.295
0.094,-0.21,-0.3
0.097,-0.21,-0.29
0.1,-0.21,-0.28
0.103,-0.225,-0.285
0.106,-0.24,-0.285
0.108,-0.25,-0.275
0.111,-0.245,-0.265
0.114,-0.245,-0.245
0.117,-0.25,-0.245
0.119,-0.255,-0.255
0.122,-0.27,-0.255
0.125,-0.29,-0.245
0.128,-0.305,-0.23
0.131,-0.31,-0.215
0.133,-0.305,-0.2
0.136,-0.305,-0.19
0.139,-0.31,-0.2
0.142,-0.31,-0.185
0.144,-0.31,-0.18
0.147,-0.295,-0.165
0.15,-0.3,-0.175
0.153,-0.32,-0.16
0.156,-0.325,-0.155
0.158,-0.325,-0.13
0.161,-0.32,-0.125
0.164,-0.305,-0.14
0.167,-0.29,-0.155
0.169,-0.295,-0.155
0.172,-0.29,-0.16
0.175,-0.305,-0.14
0.178,-0.295,-0.12
0.181,-0.285,-0.09
0.183,-0.295,-0.115
0.186,-0.295,-0.13
0.189,-0.3,-0.135
0.192,-0.305,-0.125
0.194,-0.285,-0.1
0.197,-0.285,-0.085
0.2,-0.28,-0.095
0.203,-0.285,-0.11
0.206,-0.29,-0.115
0.208,-0.295,-0.095
0.211,-0.295,-0.085
0.214,-0.28,-0.075
0.217,-0.275,-0.065
0.219,-0.265,-0.065
0.222,-0.255,-0.085
0.225,-0.26,-0.085
0.228,-0.245,-0.1
0.231,-0.235,-0.105
0.233,-0.235,-0.11
0.236,-0.24,-0.14
0.239,-0.24,-0.155
0.242,-0.255,-0.165
0.244,-0.25,-0.175
0.247,-0.245,-0.19
0.25,-0.245,-0.2
0.253,-0.255,-0.21
0.256,-0.26,-0.23
0.258,-0.265,-0.22
0.261,-0.26,-0.215
0.264,-0.27,-0.205
0.267,-0.275,-0.195
0.269,-0.29,-0.205
0.272,-0.3,-0.23
0.275,-0.305,-0.235
0.278,-0.31,-0.22
0.281,-0.305,-0.215
0.283,-0.29,-0.235
0.286,-0.285,-0.26
0.289,-0.3,-0.265
0.292,-0.3,-0.265
0.294,-0.295,-0.245
0.297,-0.285,-0.225
0.3,-0.285,-0.22
0.303,-0.28,-0.23
0.306,-0.29,-0.26
0.308,-0.305,-0.26
0.311,-0.3,-0.245
0.314,-0.3,-0.23
0.317,-0.305,-0.225
0.319,-0.315,-0.235
0.322,-0.335,-0.23
0.325,-0.345,-0.2
0.328,-0.34,-0.17
0.331,-0.33,-0.155
0.333,-0.325,-0.145
0.336,-0.325,-0.145
0.339,-0.33,-0.165
0.342,-0.325,-0.175
0.344,-0.315,-0.175
0.347,-0.3,-0.155
0.35,-0.305,-0.15
0.353,-0.315,-0.145
0.356,-0.335,-0.12
0.358,-0.335,-0.1
0.361,-0.325,-0.075
0.364,-0.31,-0.08
0.367,-0.305,-0.11
0.369,-0.32,-0.145
0.372,-0.33,-0.17
0.375,-0.33,-0.17
0.378,-0.31,-0.15
0.381,-0.305,-0.14
0.383,-0.31,-0.135
0.386,-0.32,-0.135
0.389,-0.335,-0.135
0.392,-0.33,-0.115
0.394,-0.315,-0.075
0.397,-0.305,-0.05
0.4,-0.265,-0.05
0.403,-0.24,-0.09
0.406,-0.21,-0.17
0.408,-0.19,-0.235
0.411,-0.17,-0.3
0.414,-0.13,-0.355
0.417,-0.08,-0.44
0.419,0.005,-0.535
0.422,0.1,-0.64
0.425,0.185,-0.74
0.428,0.305,-0.84
0.431,0.43,-0.87
0.433,0.58,-0.86
0.436,0.705,-0.845
0.439,0.765,-0.815
0.442,0.835,-0.755
0.444,0.89,-0.625
0.447,0.87,-0.485
0.45,0.75,-0.36
0.453,0.575,-0.275
0.456,0.375,-0.255
0.458,0.15,-0.26
0.461,-0.03,-0.28
0.464,-0.13,-0.28
0.467,-0.18,-0.265
0.469,-0.22,-0.255
0.472,-0.23,-0.23
0.475,-0.235,-0.205
0.478,-0.215,-0.175
0.481,-0.215,-0.175
0.483,-0.22,-0.16
0.486,-0.235,-0.175
0.489,-0.255,-0.175
0.492,-0.265,-0.165
0.494,-0.275,-0.145
0.497,-0.275,-0.125
0.5,-0.295,-0.11
0.503,-0.3,-0.09
0.506,-0.305,-0.07
0.508,-0.31,-0.05
0.511,-0.3,-0.035
0.514,-0.315,-0.02
0.517,-0.325,-0.075
0.519,-0.345,-0.17
0.522,-0.335,-0.255
0.525,-0.34,-0.27
0.528,-0.32,-0.24
0.531,-0.295,-0.2
0.533,-0.285,-0.19
0.536,-0.295,-0.185
0.539,-0.315,-0.185
0.542,-0.32,-0.185
0.544,-0.325,-0.175
0.547,-0.325,-0.16
0.55,-0.325,-0.15
0.553,-0.335,-0.145
0.556,-0.325,-0.155
0.558,-0.335,-0.145
0.561,-0.32,-0.115
0.564,-0.32,-0.105
0.567,-0.31,-0.095
0.569,-0.31,-0.08
0.572,-0.3,-0.085
0.575,-0.28,-0.08
0.578,-0.255,-0.07
0.581,-0.235,-0.065
0.583,-0.21,-0.07
0.586,-0.205,-0.08
0.589,-0.2,-0.08
0.592,-0.205,-0.07
0.594,-0.215,-0.07
0.597,-0.195,-0.045
0.6,-0.195,-0.06
0.603,-0.205,-0.115
0.606,-0.21,-0.175
0.608,-0.215,-0.18
0.611,-0.21,-0.16
0.614,-0.195,-0.15
0.617,-0.175,-0.19
0.619,-0.165,-0.23
0.622,-0.175,-0.235
0.625,-0.165,-0.23
0.628,-0.16,-0.21
0.631,-0.16,-0.21
0.633,-0.16,-0.205
0.636,-0.165,-0.22
0.639,-0.17,-0.255
0.642,-0.185,-0.3
0.644,-0.2,-0.315
0.647,-0.19,-0.325
0.65,-0.18,-0.32
0.653,-0.175,-0.325
0.656,-0.165,-0.315
0.658,-0.175,-0.295
0.661,-0.17,-0.29
0.664,-0.165,-0.26
0.667,-0.17,-0.26
0.669,-0.175,-0.26
0.672,-0.19,-0.255
0.675,-0.195,-0.245
0.678,-0.205,-0.21
0.681,-0.195,-0.165
0.683,-0.21,-0.16
0.686,-0.205,-0.175
0.689,-0.215,-0.195
0.692,-0.225,-0.195
0.694,-0.225,-0.145
0.697,-0.22,-0.105
0.7,-0.23,-0.11
0.703,-0.25,-0.15
0.706,-0.265,-0.135
0.708,-0.29,-0.06
0.711,-0.285,0.005
0.714,-0.275,0.03
0.717,-0.275,-0.03
0.719,-0.3,-0.14
0.722,-0.33,-0.21
0.725,-0.335,-0.23
0.728,-0.31,-0.21
0.731,-0.28,-0.165
0.733,-0.265,-0.135
0.736,-0.255,-0.115
0.739,-0.25,-0.12
0.742,-0.255,-0.09
0.744,-0.27,-0.08
0.747,-0.26,-0.075
0.75,-0.25,-0.075
0.753,-0.24,-0.09
0.756,-0.24,-0.095
0.758,-0.24,-0.08
0.761,-0.215,-0.075
0.764,-0.215,-0.04
0.767,-0.22,-0.055
0.769,-0.235,-0.08
0.772,-0.24,-0.12
0.775,-0.26,-0.15
